,neighbourhood,property_type,room_type,max_capacity(pax),bathrooms,bedrooms,price,cancellation_policy,Distance_from_center(m),Perc_Utilities,Perc_extra
130,Noord-Oost,Apartment,Entire home/apt,3,1.0,1.0,146,1,4505.634963743271,0.6666666666666666,0.2857142857142857
131,Noord-Oost,Apartment,Private room,2,1.0,1.0,55,2,4841.950274696769,0.3333333333333333,0.1428571428571428
132,Noord-Oost,Apartment,Entire home/apt,4,1.0,3.0,100,2,4799.642316774641,0.3333333333333333,0.1428571428571428
133,Noord-Oost,House,Entire home/apt,4,1.0,4.0,100,1,4657.080244245357,0.6666666666666666,0.1428571428571428
134,Noord-Oost,House,Entire home/apt,4,1.0,3.0,140,0,3602.9028044101487,0.8333333333333334,0.1428571428571428
135,Noord-Oost,House,Entire home/apt,4,1.0,4.0,100,1,4789.98708926907,0.8333333333333334,0.1428571428571428
136,Noord-Oost,House,Entire home/apt,4,1.0,4.0,125,0,4788.349670977181,0.6666666666666666,0.1428571428571428
137,Noord-Oost,Apartment,Private room,2,1.0,1.0,60,2,4295.731690142643,0.8333333333333334,0.2857142857142857
138,Noord-Oost,House,Entire home/apt,6,1.0,2.0,120,1,5740.959745067442,0.5,0.2857142857142857
139,Noord-Oost,Bed & Breakfast,Private room,2,1.0,1.0,50,0,4422.888524171092,0.0,0.2857142857142857
140,Noord-Oost,Bed & Breakfast,Private room,4,1.0,1.0,120,1,5740.959745067442,0.6666666666666666,0.2857142857142857
141,Noord-Oost,House,Entire home/apt,5,1.0,4.0,165,1,4699.542268986156,0.6666666666666666,0.2857142857142857
142,Noord-Oost,House,Entire home/apt,4,2.0,3.0,149,1,4775.129963500554,0.6666666666666666,0.0
143,Noord-Oost,House,Entire home/apt,4,1.0,3.0,125,1,4693.853007828781,0.8333333333333334,0.1428571428571428
144,Noord-Oost,Apartment,Entire home/apt,4,1.0,1.0,80,2,5100.351734407071,0.8333333333333334,0.2857142857142857
145,Noord-Oost,Apartment,Private room,2,1.0,1.0,55,0,4712.721251063805,0.5,0.1428571428571428
146,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,169,2,4147.218411498064,0.6666666666666666,0.2857142857142857
147,Noord-Oost,House,Entire home/apt,4,1.0,2.0,120,1,5047.843858279527,0.6666666666666666,0.0
148,Noord-Oost,House,Private room,2,1.0,1.0,63,0,4983.506772094289,0.3333333333333333,0.1428571428571428
149,Noord-Oost,House,Entire home/apt,5,1.5,3.0,149,2,4609.740726233522,0.8333333333333334,0.1428571428571428
150,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,80,1,4513.769444847241,0.6666666666666666,0.1428571428571428
151,Noord-Oost,Apartment,Private room,2,1.0,1.0,70,1,4876.148871836377,0.6666666666666666,0.1428571428571428
